<!DOCTYPE HTML><html><head><meta charset='UTF-8'><title>transcodage</title></head><body><pre>
ancien;simple;rattachée
27657;27089;27657
27675;27096;27096
27687;27022;27687
27688;27693;27693
28002;28199;28002
28011;28023;28011
28017;28103;28017
28020;28406;28020
28042;28015;28015
28043;28226;28043
28044;28012;28044
28063;28236;28063
28066;28127;28127
28069;28185;28185
28083;28103;28083
28093;28012;28093
28097;28393;28097
28101;28330;28101
28112;28236;28112
28115;28012;28115
28125;28226;28125
28131;91016;91016
28133;28103;28133
28138;28393;28138
28145;28406;28145
28150;28103;28150
28152;28226;28226
28165;28331;28165
28174;28386;28174
28179;28406;28179
28181;28393;28181
28186;28183;28183
28204;28012;28204
28205;28334;28205
28224;28330;28224
28228;28120;28228
28238;28360;28238
28241;28103;28241
28244;28199;28199
28250;28127;28127
28258;28422;28258
28262;28103;28262
28266;28168;28168
28288;28183;28288
28295;28330;28295
28297;28383;28383
28307;28056;28307
28311;28199;28311
28318;28103;28318
28320;28422;28320
28328;28393;28328
28338;28034;28338
28340;28103;28340
28345;28048;28048
28356;28012;28356
28361;28015;28361
28376;28018;28376
28381;28373;28381
28384;28393;28384
28399;28279;28399
28402;28254;28254
28412;28406;28412
28413;28373;28413
28416;28422;28416
28420;28120;28420
29009;29039;29039
29050;29232;29232
29052;29003;29052
29088;29232;29232
29092;29241;29092
29096;29019;29019
